AE_CODE,AE_NOM
1 D1 C,1er degré commun
1 D1 D,1er degré différencié
1 D2 AQ,2e degré artistique de qualification
1 D2 AT,2e degré artistique de transition
1 D2 G,2e degré général
1 D2 P,2e degré professionnel
1 D2 TQ,2e degré technique de qualification
1 D2 TT,2e degré technique de transition
1 D3 AQ,3e degré artistique de qualification
1 D3 AT,3e degré artistique de transition
1 D3 G,3e degré général
1 D3 P,3e degré professionnel
1 D3 TQ,3e degré technique de qualification
1 D3 TT,3e degré technique de transition
1 D4 P,4e degré professionnel
1 D4 TQ,4e degré technique de qualification
R D2 P,2e degré professionnel en alternance
R D3 P,3e degré professionnel en alternance
R D3 TQ,3e degré technique de qualification en alternance
1 D1 1C,1e commune
1 D1 1D,1e différenciée
1 D1 2C,2e commune
1 D1 2D,2e différenciée
1 D1 2S,2e supplémentaire
1 D2 3 AQ,3e artistique de qualification
1 D2 3 AT,3e artistique de transition
1 D2 3 G,3e générale
1 D2 3 P,3e professionnelle
1 D2 3 TQ,3e technique de qualification
1 D2 3 TT,3e technique de transition
1 D2 4 AQ,4e artistique de qualification
1 D2 4 AT,4e artistique de transition
1 D2 4 G,4e générale 
1 D2 4 P,4e professionnelle
1 D2 4 TQ,4e technique de qualification
1 D2 4 TT,4e technique de transition
1 D2 4R TQ,4e technique de qualification (réorientation)
1 D2 4R TT,4e technique de transition (réorientation)
1 D3 5 AQ,5e artistique de qualification
1 D3 5 AT,5e artistique de transition
1 D3 5 G,5e générale  
1 D3 5 P,5e professionnelle
1 D3 5 TQ,5e technique de qualification
1 D3 5 TT,5e technique de transition
1 D3 6 AQ,6e artistique de qualification
1 D3 6 AT,6e artistique de transition
1 D3 6 G,6e générale  
1 D3 6 P,6e professionnelle
1 D3 6 TQ,6e technique de qualification
1 D3 6 TT,6e technique de transition
1 D3 7 TQ,7e technique de qualification
1 D3 7B P,7e professionnelle 
1 D3 7L G,7e préparatoire à l'enseignement supérieur - langues modernes
1 D3 7M G,7e préparatoire à l'enseignement supérieur - mathématiques
1 D3 7PES,7e préparatoire à l'enseignement supérieur 
1 D3 7S G,7e préparatoire à l'enseignement supérieur - sciences
1 D4 1 P,1e année en soins infirmiers 
1 D4 2 P,2e année en soins infirmiers
1 D4 3 P,3e année en soins infirmiers
1 D4 3C P,3e année complémentaire en soins infirmiers
1 D4 7 P,Année préparatoire à l'entrée en 1e année du brevet infirmier
1 D4 7 TQ,Année préparatoire à l'entrée dans l'enseignement supérieur paramédical
1 DQ 4 P,4e professionnelle 
1 DQ 4 TQ,4e technique de qualification 
1 DQ 5 P,5e professionnelle 
1 DQ 5 TQ,5e technique de qualification 
1 DQ 6 P,6e professionnelle 
1 DQ 6 TQ,6e technique de qualification 
R D2 3 P,3e professionnelle en alternance 
R D2 4 P,4e professionnelle en alternance
R D2 P 45,Enseignement en alternance 
R D3 5 P,5e professionnelle en alternance
R D3 5 TQ,5e technique de qualification en alternance
R D3 6 P,6e professionnelle en alternance
R D3 6 TQ,6e technique de qualification en alternance
R D3 7 TQ,7e technique de qualification en alternance 
R D3 7B P,7e professionnelle en alternance
R D3 P 45,Enseignement en alternance 
R DQ 4 P,4e professionnelle en alternance
R DQ 4 TQ,4e technique de qualification en alternance
R DQ 5 P,5e professionnelle en alternance
R DQ 5 TQ,5e technique de qualification en alternance
R DQ 6 P,6e professionnelle en alternance
R DQ 6 TQ,6e technique de qualification en alternance
